Any,Data,Codi_Postal,Sector_Economic,Tram_Horari,Valor
2023,2023-01-01,08006,Serveis,De 18:00:00 a 23:59:59 h,29654
2023,2023-01-01,08006,Serveis,No consta,1030
2023,2023-01-01,08007,Indústria,De 00:00:00 a 05:59:59 h,671
2023,2023-01-01,08007,Indústria,De 06:00:00 a 11:59:59 h,643
2023,2023-01-01,08007,Indústria,De 12:00:00 a 17:59:59 h,701
2023,2023-01-01,08007,Indústria,De 18:00:00 a 23:59:59 h,816
2023,2023-01-01,08007,Indústria,No consta,45
2023,2023-01-01,08007,No especificat,De 00:00:00 a 05:59:59 h,33
2023,2023-01-01,08007,No especificat,De 06:00:00 a 11:59:59 h,34
2023,2023-01-01,08007,No especificat,De 12:00:00 a 17:59:59 h,48
2023,2023-01-01,08007,No especificat,De 18:00:00 a 23:59:59 h,47
2023,2023-01-01,08007,No especificat,No consta,1
2023,2023-01-01,08007,Residencial,De 00:00:00 a 05:59:59 h,10725
2023,2023-01-01,08007,Residencial,De 06:00:00 a 11:59:59 h,11502
2023,2023-01-01,08007,Residencial,De 12:00:00 a 17:59:59 h,14948
2023,2023-01-01,08007,Residencial,De 18:00:00 a 23:59:59 h,15433
2023,2023-01-01,08007,Residencial,No consta,1290
2023,2023-01-01,08007,Serveis,De 00:00:00 a 05:59:59 h,20675
2023,2023-01-01,08007,Serveis,De 06:00:00 a 11:59:59 h,22006
2023,2023-01-01,08007,Serveis,De 12:00:00 a 17:59:59 h,23976
2023,2023-01-01,08007,Serveis,De 18:00:00 a 23:59:59 h,25822
2023,2023-01-01,08007,Serveis,No consta,741
2023,2023-01-01,08008,Indústria,De 00:00:00 a 05:59:59 h,747
2023,2023-01-01,08008,Indústria,De 06:00:00 a 11:59:59 h,836
2023,2023-01-01,08008,Indústria,De 12:00:00 a 17:59:59 h,902
2023,2023-01-01,08008,Indústria,De 18:00:00 a 23:59:59 h,898
2023,2023-01-01,08008,Indústria,No consta,28
2023,2023-01-01,08008,No especificat,De 00:00:00 a 05:59:59 h,82
2023,2023-01-01,08008,No especificat,De 06:00:00 a 11:59:59 h,90
2023,2023-01-01,08008,No especificat,De 12:00:00 a 17:59:59 h,106
2023,2023-01-01,08008,No especificat,De 18:00:00 a 23:59:59 h,117
2023,2023-01-01,08008,No especificat,No consta,3
2023,2023-01-01,08008,Residencial,De 00:00:00 a 05:59:59 h,7075
2023,2023-01-01,08008,Residencial,De 06:00:00 a 11:59:59 h,7406
2023,2023-01-01,08008,Residencial,De 12:00:00 a 17:59:59 h,9697
2023,2023-01-01,08008,Residencial,De 18:00:00 a 23:59:59 h,10553
2023,2023-01-01,08008,Residencial,No consta,1154
2023,2023-01-01,08008,Serveis,De 00:00:00 a 05:59:59 h,13861
2023,2023-01-01,08008,Serveis,De 06:00:00 a 11:59:59 h,15360
2023,2023-01-01,08008,Serveis,De 12:00:00 a 17:59:59 h,17164
2023,2023-01-01,08008,Serveis,De 18:00:00 a 23:59:59 h,17360
2023,2023-01-01,08008,Serveis,No consta,399
2023,2023-01-01,08009,Indústria,De 00:00:00 a 05:59:59 h,722
2023,2023-01-01,08009,Indústria,De 06:00:00 a 11:59:59 h,711
2023,2023-01-01,08009,Indústria,De 12:00:00 a 17:59:59 h,794
2023,2023-01-01,08009,Indústria,De 18:00:00 a 23:59:59 h,851
2023,2023-01-01,08009,Indústria,No consta,48
2023,2023-01-01,08009,Residencial,De 00:00:00 a 05:59:59 h,10892
2023,2023-01-01,08009,Residencial,De 06:00:00 a 11:59:59 h,11270
2023,2023-01-01,08009,Residencial,De 12:00:00 a 17:59:59 h,15731
2023,2023-01-01,08009,Residencial,De 18:00:00 a 23:59:59 h,17548
2023,2023-01-01,08009,Residencial,No consta,2255
2023,2023-01-01,08009,Serveis,De 00:00:00 a 05:59:59 h,9237
